TIME,VEH_S,VEH_N
2018-8-23 00:00:00,10,9
2018-8-23 00:05:00,8,10
2018-8-23 00:10:00,5,8
2018-8-23 00:15:00,4,11
2018-8-23 00:20:00,7,8
2018-8-23 00:25:00,5,8
2018-8-23 00:30:00,4,6
2018-8-23 00:35:00,6,13
2018-8-23 00:40:00,4,8
2018-8-23 00:45:00,3,6
2018-8-23 00:50:00,4,10
2018-8-23 00:55:00,4,7
2018-8-23 01:00:00,2,11
2018-8-23 01:05:00,1,7
2018-8-23 01:10:00,4,9
2018-8-23 01:15:00,1,8
2018-8-23 01:20:00,4,7
2018-8-23 01:25:00,6,4
2018-8-23 01:30:00,4,9
2018-8-23 01:35:00,4,5
2018-8-23 01:40:00,2,7
2018-8-23 01:45:00,3,5
2018-8-23 01:50:00,1,6
2018-8-23 01:55:00,2,3
2018-8-23 02:00:00,3,2
2018-8-23 02:05:00,3,9
2018-8-23 02:10:00,3,7
2018-8-23 02:15:00,3,4
2018-8-23 02:20:00,4,5
2018-8-23 02:25:00,2,8
2018-8-23 02:30:00,6,2
2018-8-23 02:35:00,1,7
2018-8-23 02:40:00,2,3
2018-8-23 02:45:00,0,4
2018-8-23 02:50:00,1,1
2018-8-23 02:55:00,1,3
2018-8-23 03:00:00,1,3
2018-8-23 03:05:00,2,2
2018-8-23 03:10:00,3,5
2018-8-23 03:15:00,2,4
2018-8-23 03:20:00,1,3
2018-8-23 03:25:00,1,0
2018-8-23 03:30:00,5,7
2018-8-23 03:35:00,1,2
2018-8-23 03:40:00,2,0
2018-8-23 03:45:00,2,1
2018-8-23 03:50:00,1,5
2018-8-23 03:55:00,1,1
2018-8-23 04:00:00,3,1
2018-8-23 04:05:00,3,2
2018-8-23 04:10:00,2,7
2018-8-23 04:15:00,1,5
2018-8-23 04:20:00,1,0
2018-8-23 04:25:00,1,2
2018-8-23 04:30:00,1,0
2018-8-23 04:35:00,2,2
2018-8-23 04:40:00,3,2
2018-8-23 04:45:00,3,3
2018-8-23 04:50:00,3,1
2018-8-23 04:55:00,5,4
2018-8-23 05:00:00,4,3
2018-8-23 05:05:00,4,3
2018-8-23 05:10:00,7,2
2018-8-23 05:15:00,3,4
2018-8-23 05:20:00,6,6
2018-8-23 05:25:00,10,7
2018-8-23 05:30:00,9,4
2018-8-23 05:35:00,10,1
2018-8-23 05:40:00,8,0
2018-8-23 05:45:00,9,4
2018-8-23 05:50:00,8,8
2018-8-23 05:55:00,11,9
2018-8-23 06:00:00,10,4
2018-8-23 06:05:00,9,9
2018-8-23 06:10:00,15,3
2018-8-23 06:15:00,17,7
2018-8-23 06:20:00,15,6
2018-8-23 06:25:00,18,8
2018-8-23 06:30:00,20,4
2018-8-23 06:35:00,27,6
