book_title|x|y
Sundiver (The Uplift Saga #1)|153290|245741
Deep Freeze (Northwest #1)|379557|319669
Northlanders, Vol. 2: The Cross and the Hammer (Northlanders #2)|176199|282745
Unraveled (Turner #3)|401580|311646
The Death-Ray (Eightball #23)|353358|245681
Hearts and Llamas (Chocolate Lovers #3.5)|398886|251616
You're The One (Very Irresistible Bachelors #1)|366319|240078
Ever Enough (Ever Enough #1)|399882|258983
A Woman of Substance (Emma Harte Saga #1)|282160|211755
Dicey's Song (Tillerman Cycle #2)|228366|293901
Hidden (Firelight #3)|291131|330618
Mother Knows Best (Villains #5)|267544|317947
Ouran High School Host Club, Vol. 14 (桜蘭高校ホスト部 #14)|225048|370634
Dengeki Daisy, Vol. 3 (電撃デイジー / Dengeki Daisy #3)|226331|372035
Nausicaä of the Valley of the Wind, Vol. 4 (Nausicaä of the Valley of the Wind #4)|181337|277124
Halo: Glasslands (Halo #11)|127121|238193
The Bear and the Dragon (John Clark #3)|263898|157247
Holly (Montgomery/Taggert (Publication order)  #26)|387513|315364
Sharpe's Devil (Sharpe #22)|171644|205845
Heart of Iron (London Steampunk #2)|394687|315698
Undone (Outcast Season #1)|344323|317389
Jock Rule (Jock Hard #2)|379347|243272
Friday Night Bites (Chicagoland Vampires #2)|342962|312600
#Rev (GearShark #2)|395909|203823
The Truelove (Aubrey & Maturin #15)|175586|205836
Happy Birthday Samantha!: A Springtime Story (American Girl: Samantha #4)|222182|297061
The Adventures of the Stainless Steel Rat (Stainless Steel Rat #4-6)|149641|246770
Theft of Swords (The Riyria Revelations #1-2)|144928|233214
Fables, Vol. 1: Legends in Exile (Fables)|182771|280501
Dragon Ball, Vol. 3: The Training of Kame-Sen'nin (Dragon Ball #3)|220546|365163
Calamity (The Reckoners #3)|145767|231261
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back (Heaven is For Real #1)|280956|255798
The Mind Readers (Mind Readers #1)|309658|314787
Karen Memory (Karen Memory #1)|163095|238558
Robots and Empire (Robot #4)|154289|247250
Archangel's Storm (Guild Hunter #5)|349041|308516
The White Lioness (Kurt Wallander #3)|289910|171114
Winterhouse (Winterhouse #1)|245593|313817
Brian's Winter (Brian's Saga #3)|228398|306198
Shopaholic to the Stars (Shopaholic #7)|290079|228598
Betrayed: Days of the Rogue (Law of the Lycans #5)|354830|290401
Miles Errant (Vorkosigan Saga (Publication Order) #5, 5.3 & 8)|143470|246596
Eumenides (Oresteia #3)|210296|227732
Copper (Hell's Handlers MC #4)|365938|253778
Black Howl (Black Wings #3)|341404|313915
The Ten Thousand Doors of January|261414|232054
The Unkindest Tide (October Daye #13)|339124|316659
Dead Center (Andy Carpenter #5)|279448|159223
Deadlocked (Sookie Stackhouse #12)|348084|315916
Jack of Fables, Vol. 1: The (Nearly) Great Escape (Jack of Fables #1)|181331|281347
Guess How Much I Love You (Little Nutbrown Hare)|226216|287894
Two of a Kind (Fool's Gold #11)|383837|296220
Foundation (Foundation (Publication Order) #1)|156962|243966
Robopocalypse (Robopocalypse #1)|160822|240099
